MNX_ID	seed	other
MNXR100892	rxn00513	RXN0-5073
MNXR100896	rxn01642	IMIDAZOLONEPROPIONASE-RXN
MNXR100912	rxn05347	3-OXOACYL-ACP-SYNTH-BASE-RXN
MNXR100913	rxn08766	2.3.1.180-RXN
MNXR100935	rxn04928	RXN0-705
MNXR100939	rxn05596	TRANS-RXN-42
MNXR100939	rxn08770	TRANS-RXN-42
MNXR100946	rxn00728	KYNURENINASE-RXN
MNXR100947	rxn01438	KYNURENINE-3-MONOOXYGENASE-RXN
MNXR100950	rxn05206	TRANS-RXN-143
MNXR100950	rxn05206	TRANS-RXN-185
MNXR100950	rxn05206	TRANS-RXN-186
MNXR100950	rxn05206	TRANS-RXN-187
MNXR100950	rxn05206	TRANS-RXN-190
MNXR100950	rxn08771	TRANS-RXN-143
MNXR100950	rxn08771	TRANS-RXN-185
MNXR100950	rxn08771	TRANS-RXN-186
MNXR100950	rxn08771	TRANS-RXN-187
MNXR100950	rxn08771	TRANS-RXN-190
MNXR100951	rxn05595	TRANS-RXN-3
MNXR100951	rxn08769	TRANS-RXN-3
MNXR101008	rxn01831	D-LACTALDEHYDE-DEHYDROGENASE-RXN
MNXR101010	rxn01618	1.1.1.283-RXN
MNXR101010	rxn04937	1.1.1.283-RXN
MNXR101011	rxn08775	RXN0-6981
MNXR101015	rxn05597	TRANS-RXN0-513
MNXR101018	rxn01053	LACTALDDEHYDROG-RXN
MNXR101019	rxn01273	LACTALDEHYDE-OXI-RXN
MNXR101028	rxn04771	RXN1F-148
MNXR101029	rxn04772	RXN1F-147
MNXR101030	rxn07631	RXN-8028
MNXR101031	rxn03646	RXN1F-150
MNXR101032	rxn01231	CYSTAUR-RXN
MNXR101037	rxn00500	DLACTDEHYDROGNAD-RXN
MNXR101040	rxn00499	L-LACTATE-DEHYDROGENASE-RXN
MNXR101054	rxn05161	ABC-35-RXN
MNXR101054	rxn08784	ABC-35-RXN
MNXR101056	rxn05240	TRANS-RXN-126B
MNXR101057	rxn08786	RXN66-447
MNXR101057	rxn11003	RXN66-447
MNXR101058	rxn13339	TRANS-RXN0-270
MNXR101081	rxn07584	RXN-8654
MNXR101096	rxn00804	LEUCINE-DEHYDROGENASE-RXN
MNXR101097	rxn02590	LIPOXYGENASE-RXN
MNXR101117	rxn02290	LANOSTEROL-SYNTHASE-RXN
MNXR101118	rxn00229	LACTATE-2-MONOOXYGENASE-RXN
MNXR101119	rxn03159	LIPIDADISACCHARIDESYNTH-RXN
MNXR101134	rxn10566	RXN-8078
MNXR101200	rxn10567	RXN-8077
MNXR101242	rxn04137	RXN0-2201
MNXR101248	rxn02194	LEUKOTRIENE-C4-SYNTHASE-RXN
MNXR101250	rxn00484	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN
MNXR101251	rxn10609	RXN-8626
MNXR101254	rxn00321	LYSINE-23-AMINOMUTASE-RXN
MNXR101256	rxn00322	LYSDECARBOX-RXN
MNXR101258	rxn00312	LYSINE-2-MONOOXYGENASE-RXN
MNXR101262	rxn00310	L-LYSINE-OXIDASE-RXN
MNXR101263	rxn00320	LYSINE-RACEMASE-RXN
MNXR101265	rxn05151	ABC-3-RXN
MNXR101265	rxn08853	ABC-3-RXN
MNXR101266	rxn08854	TRANS-RXN-58
MNXR101266	rxn09674	TRANS-RXN-58
MNXR101266	rxn09740	TRANS-RXN-58
MNXR101269	rxn08856	TRANS-RXN0-569
MNXR101269	rxn10834	TRANS-RXN0-569
MNXR101271	rxn05692	TRANS-RXN0-236
MNXR101271	rxn08858	TRANS-RXN0-236
MNXR101277	rxn05602	TRANS-RXN-104
MNXR101277	rxn08794	TRANS-RXN-104
MNXR101277	rxn13334	TRANS-RXN-104
MNXR101281	rxn01057	LACTATE-RACEMASE-RXN
MNXR101327	rxn08861	MALONYL-ACPDECARBOX-RXN
MNXR101336	rxn00607	MALTOSE-6-PHOSPHATE-GLUCOSIDASE-RXN
MNXR101339	rxn00160	1.1.1.83-RXN
MNXR101340	rxn08863	TRANS-RXN0-451
MNXR101342	rxn00803	MALEATE-ISOMERASE-RXN
MNXR101345	rxn02523	RXN-646
MNXR101347	rxn00330	MALSYN-RXN
MNXR101350	rxn00022	RXN-15910
MNXR101351	rxn01133	MALTACETYLTRAN-RXN
MNXR101358	rxn05608	TRANS-RXN0-503
MNXR101358	rxn08875	TRANS-RXN0-503
MNXR101360	rxn08877	TRANS-RXN0-504
MNXR101360	rxn10173	TRANS-RXN0-504
MNXR101362	rxn05170	3.6.3.19-RXN
MNXR101362	rxn05170	ABC-16-RXN
MNXR101362	rxn08867	3.6.3.19-RXN
MNXR101362	rxn08867	ABC-16-RXN
MNXR101364	rxn08874	RXN-14351
MNXR101364	rxn08874	RXN0-1741
MNXR101364	rxn08874	TRANS-RXN0-575
MNXR101365	rxn09673	TRANS-RXN-245
MNXR101367	rxn08868	TRANS-RXN-224
MNXR101367	rxn08868	TRANS-RXN-225
MNXR101367	rxn10967	TRANS-RXN-224
MNXR101367	rxn10967	TRANS-RXN-225
MNXR101370	rxn08865	TRANS-RXN-121A
MNXR101370	rxn10153	TRANS-RXN-121A
MNXR101375	rxn00641	2.7.7.13-RXN
MNXR101376	rxn00640	MANNPGUANYLTRANGDP-RXN
MNXR101389	rxn01775	MANNONOXIDOREDUCT-RXN
MNXR101397	rxn08884	RXN0-5216
MNXR101407	rxn00126	S-ADENMETSYN-RXN
MNXR101411	rxn02889	METHYLCROTONYL-COA-CARBOXYLASE-RXN
MNXR101412	rxn00174	MALONYL-COA-DECARBOXYLASE-RXN
MNXR101413	rxn03060	2-METHYLCITRATE-DEHYDRATASE-RXN
MNXR101415	rxn00289	METHYLISOCITRATE-LYASE-RXN
MNXR101417	rxn00679	2-METHYLCITRATE-SYNTHASE-RXN
MNXR101420	rxn10568	MTAMBARKMULTI-RXN
MNXR101421	rxn05465	MALONYL-COA-ACP-TRANSACYL-RXN
MNXR101422	rxn02230	MERCAPYSTRANS-RXN
MNXR101424	rxn03910	RXN0-302
MNXR101425	rxn01025	RXN-14197
MNXR101439	rxn00248	MALATE-DEH-RXN
MNXR101443	rxn00161	MALIC-NADP-RXN
MNXR101444	rxn00249	MALATE-DEHYDROGENASE-NADP+-RXN
MNXR101445	rxn05104	R145-RXN
MNXR101446	rxn00159	1.1.1.39-RXN
MNXR101460	rxn05612	TRANS-RXN-94
MNXR101460	rxn08906	TRANS-RXN-94
MNXR101464	rxn10570	TRANS-RXN0-459
MNXR101468	rxn07314	RXN-4144
MNXR101472	rxn05183	TRANS-RXN0-202
MNXR101472	rxn08910	TRANS-RXN0-202
MNXR101474	rxn00456	METHIONINE-GAMMA-LYASE-RXN
MNXR101479	rxn08912	RXN0-7188
MNXR101479	rxn08913	RXN0-7188
MNXR101479	rxn09942	RXN0-7188
MNXR101482	rxn05613	RXN0-7185
MNXR101482	rxn05613	RXN0-7186
MNXR101482	rxn05613	TRANS-RXN0-511
MNXR101482	rxn08914	RXN0-7185
MNXR101482	rxn08914	RXN0-7186
MNXR101482	rxn08914	TRANS-RXN0-511
MNXR101482	rxn08916	RXN0-7185
MNXR101482	rxn08916	RXN0-7186
MNXR101482	rxn08916	TRANS-RXN0-511
MNXR101484	rxn06077	1.8.4.13-RXN
MNXR101484	rxn06077	1.8.4.14-RXN
MNXR101484	rxn07437	1.8.4.13-RXN
MNXR101484	rxn07437	1.8.4.14-RXN
MNXR101484	rxn07439	1.8.4.13-RXN
MNXR101484	rxn07439	1.8.4.14-RXN
MNXR101484	rxn08918	1.8.4.13-RXN
