name	metacyc	vmh	seed	group
UTP		EX_utp(e)	EX_cpd00062_e0	
Malonyl-CoA		EX_malcoa(e)	EX_cpd00070_e0	
Acetaldehyde		EX_acald(e)	EX_cpd00071_e0	
Urea		EX_urea(e)	EX_cpd00073_e0	
Succinyl-CoA		EX_succoa(e)	EX_cpd00078_e0	
D-glucose-6-phosphate		EX_g6p(e)	EX_cpd00079_e0	
Glycerol-3-phosphate;D-L-alpha-Glycerol Phosphate		EX_glyc3p(e)	EX_cpd00080_e0	
Tetrahydrofolate		EX_thf(e)	EX_cpd00087_e0	
Uracil		EX_ura(e)	EX_cpd00092_e0	
Choline		EX_chol(e)	EX_cpd00098_e0	
Biotin		EX_btn(e)	EX_cpd00104_e0	
dATP		EX_datp(e)	EX_cpd00115_e0	
D-Alanine		EX_ala_D(e)	EX_cpd00117_e0	
Putrescine		EX_ptrc(e)	EX_cpd00118_e0	Amines/amides
5-10-Methylenetetrahydrofolate		EX_mlthf(e)	EX_cpd00125_e0	
L-Malate;Malic acid;malate		EX_mal_L(e)	EX_cpd00130_e0	
Nicotinamide		EX_ncam(e)	EX_cpd00133_e0	
4-Hydroxybenzoate;4-hydroxy benzoic acid		EX_4hbz(e)	EX_cpd00136_e0	
Glycolate		EX_glyclt(e)	EX_cpd00139_e0	
Acetoacetate		EX_acac(e)	EX_cpd00142_e0	
Hydrogen cyanide		EX_cyan(e)	EX_cpd00150_e0	
Aminoethanol		EX_etha(e)	EX_cpd00162_e0	
Calomide		EX_adocbl(e)	EX_cpd00166_e0	
2-keto-3-deoxygluconate;2-dehydro-3-deoxy-D-gluconate		EX_2ddglcn(e)	EX_cpd00176_e0	
Adenosine		EX_adn(e)	EX_cpd00182_e0	
Arachidonate		EX_arachd(e)	EX_cpd00188_e0	
10-Formyltetrahydrofolate		EX_10fthf(e)	EX_cpd00201_e0	
Taurine		EX_taur(e)	EX_cpd00210_e0	
Palmitate		EX_hdca(e)	EX_cpd00214_e0	
Pyridoxal		EX_pydx(e)	EX_cpd00215_e0	
Niacin		EX_nac(e)	EX_cpd00218_e0	
Riboflavin		EX_ribflv(e)	EX_cpd00220_e0	
HYXN		EX_hxan(e)	EX_cpd00226_e0	
D-mannose-6-phosphate		EX_man6p(e)	EX_cpd00235_e0	
dGTP		EX_dgtp(e)	EX_cpd00241_e0	
Nickel		EX_ni2(e)	EX_cpd00244_e0	
Pyridoxol		EX_pydxn(e)	EX_cpd00263_e0	
Spermidine		EX_spmd(e)	EX_cpd00264_e0	
Thiosulfate		EX_tsul(e)	EX_cpd00268_e0	
Deoxyguanosine		EX_dgsn(e)	EX_cpd00277_e0	
GABA;gamma-aminobutyric acid		EX_4abut(e)	EX_cpd00281_e0	
Urate		EX_urate(e)	EX_cpd00300_e0	
Thiamine		EX_thm(e)	EX_cpd00305_e0	
Cytosine		EX_csn(e)	EX_cpd00307_e0	
Xanthine		EX_xan(e)	EX_cpd00309_e0	
Guanosine		EX_gsn(e)	EX_cpd00311_e0	
5-Methyltetrahydrofolate		EX_5mthf(e)	EX_cpd00345_e0	
Nicotinamide ribonucleotide		EX_nmn(e)	EX_cpd00355_e0	
dCTP		EX_dctp(e)	EX_cpd00356_e0	
TTP		EX_dttp(e)	EX_cpd00357_e0	
Retinol		EX_retinol(e)	EX_cpd00365_e0	
Cytidine		EX_cytd(e)	EX_cpd00367_e0	
Propanal		EX_ppal(e)	EX_cpd00371_e0	
Folate;Folate		EX_fol(e)	EX_cpd00393_e0	Miscellaneous
L-Cysteate		EX_Lcyst(e)	EX_cpd00395_e0	
Deoxyuridine		EX_duri(e)	EX_cpd00412_e0	
Nitric oxide		EX_no(e)	EX_cpd00418_e0	
Pyridoxamine		EX_pydam(e)	EX_cpd00419_e0	
Cob(II)alamin		EX_cbl2(e)	EX_cpd00423_e0	
Deoxyadenosine		EX_dad_2(e)	EX_cpd00438_e0	
Trimethylamine		EX_tma(e)	EX_cpd00441_e0	
4-Aminobenzoate		EX_4abz(e)	EX_cpd00443_e0	
