rxn,genes,pwy,ncbi,uniprot,location,go,org
|RXN0-5264|,torA,|PWY0-1355|;|PWY0-1347|;|PWY0-1578|,,P33225,|CCO-PERI-BAC|,|GO:0030151|;|GO:0042597|;|GO:0055114|;|GO:0046872|;|GO:0005515|;|GO:0016491|;|GO:0043546|;|GO:0019645|;|GO:0009055|;|GO:0030288|;|GO:0009060|;|GO:0050626|;|GO:0009061|,|TAX-511145|
|RXN-17587|,Noca_4822,|PWY-7776|,,A1SC71,,,|TAX-196162|
|TSMOS-RXN|,tsaB,|TOLSULFDEG-PWY|;|4TOLCARBDEG-PWY|,AF311437,P94680,,,|ORG-5891|
|TSMOS-RXN|,tsaM,|TOLSULFDEG-PWY|;|4TOLCARBDEG-PWY|,AF311437,P94679,,,|ORG-5891|
|1.14.13.95-RXN|,CYP8B1,|PWY-6061|,,O02766,|CCO-ER-MEM|,|GO:0005789|,|TAX-9986|
|RXN-13229|,mtsA,|PWY-5259|;|PWY-5260|;|PWY-5258|,U36337,Q48924,,,|TAX-2208|
|RXN-21018|,arsH1,,,Q88LK4,|CCO-CYTOSOL|,|GO:0055114|;|GO:0016491|;|GO:0005829|,|TAX-160488|
|RXN-8541|,f-&gamma;hum,|PWY-7102|;|PWY-5425|;|PWY-5423|;|PWY-3041|,,O64405,,,|TAX-46611|
|RXN-11711|,gtp2,|PWY-6626|,AF057294,Q9R920,,,|TAX-216600|
|RXN-14160|,GDE1,|PWY-7409|;|PWY-7367|,6325147,Q02979,,,|TAX-4932|
|RXN-14160|,ugpQ,|PWY-6952|,,P10908,|CCO-CYTOSOL|,|GO:0016787|;|GO:0008081|;|GO:0006629|;|GO:0046872|;|GO:0006071|;|GO:0005737|;|GO:0047389|;|GO:0047395|;|GO:0000287|;|GO:0005829|;|GO:0008889|,|TAX-511145|
|RXN-12247|,crtI,|PWY-6287|,J04969,P17054,,,|TAX-1061|
|RXN-12247|,crtI,|PWY-6581|;|PWY-5942|,AB034704,Q9JP98,,,|TAX-28068|
|RXN-12247|,al-1,|PWY-5942|;|PWY-6681|,AABX02000002,P21334,,,|TAX-5141|
|RXN-19902|,TAD1,|PWY-8018|,KT852988,A0A0U2UYC4,|CCO-CYTOSOL|,|GO:0005829|,|TAX-5270|
|PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN|,PAP12,|PWY-6348|,,,|CCO-EXTRACELLULAR|,|GO:0005576|,|ORG-5993|
|PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN|,PAP26,|PWY-8011|;|PWY-6348|,,,|CCO-EXTRACELLULAR|;|CCO-VACUOLE|,|GO:0005576|;|GO:0000323|,|ORG-5993|
|PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN|,phoA,|SALVADEHYPOX-PWY|;|NAD-BIOSYNTHESIS-II|;|PWY-7218|;|PWY-5484|;|PWY-7805|,,P00634,|CCO-PERI-BAC|,|GO:0006470|;|GO:0004721|;|GO:0055114|;|GO:0046872|;|GO:0016791|;|GO:0016787|;|GO:0003824|;|GO:0030613|;|GO:0005515|;|GO:0030288|;|GO:0033748|;|GO:0016311|;|GO:0042597|;|GO:0008270|;|GO:0000287|;|GO:0004035|,|TAX-511145|
|RXN-19405|,LARGE,|PWY-7981|,AL008630,O95461,|CCO-GOLGI-MEM|;|CCO-GOLGI|;|CCO-CYTOSKELETON|,|GO:0005515|;|GO:0060538|;|GO:0046872|;|GO:0046716|;|GO:0043403|;|GO:0043231|;|GO:0042285|;|GO:0035269|;|GO:0030173|;|GO:0030145|;|GO:0016757|;|GO:0016740|;|GO:0016020|;|GO:0015020|;|GO:0009101|;|GO:0008152|;|GO:0006688|;|GO:0003824|;|GO:0000139|;|GO:0016021|;|GO:0005794|;|GO:0005871|;|GO:0016051|;|GO:0016758|;|GO:0006486|;|GO:0006044|;|GO:0008375|,|TAX-9606|
|RXN-19405|,LARGE2,|PWY-7981|,AF258588,Q8N3Y3,|CCO-GOLGI|;|CCO-GOLGI-MEM|,|GO:0005515|;|GO:0046872|;|GO:0046716|;|GO:0042285|;|GO:0035269|;|GO:0030145|;|GO:0016757|;|GO:0016021|;|GO:0016020|;|GO:0015020|;|GO:0008152|;|GO:0006486|;|GO:0005794|;|GO:0003824|;|GO:0000139|;|GO:0016740|,|TAX-9606|
|RXN66-565|,ALD1,|PWY-7861|,,Q9ZQI7,,,|TAX-3702|
|CARBPSYN-RXN|,carB,|GLUTAMINDEG-PWY|;|PWY-5686|;|ARGSYN-PWY|,,P00968,|CCO-CYTOSOL|,|GO:0006541|;|GO:0005737|;|GO:0016874|;|GO:0006807|;|GO:0044205|;|GO:0004087|;|GO:0019856|;|GO:0016597|;|GO:0046872|;|GO:0008652|;|GO:0005515|;|GO:0000166|;|GO:0004088|;|GO:0006526|;|GO:0006221|;|GO:0005829|;|GO:0005951|;|GO:0005524|,|TAX-511145|
|CARBPSYN-RXN|,carA,|GLUTAMINDEG-PWY|;|PWY-5686|;|ARGSYN-PWY|,,P0A6F1,|CCO-CYTOSOL|,|GO:0006807|;|GO:0008652|;|GO:0044205|;|GO:0006207|;|GO:0005737|;|GO:0000166|;|GO:0016874|;|GO:0006541|;|GO:0005524|;|GO:0005515|;|GO:0006526|;|GO:0006221|;|GO:0005951|;|GO:0005829|;|GO:0004088|,|TAX-511145|
|CARBPSYN-RXN|,CPA1,,Z75211,P07258,,,|TAX-559292|
|CARBPSYN-RXN|,CPA2,,Z49609,P03965,,,|TAX-559292|
|CARBPSYN-RXN|,URA2,|PWY-7790|,Z49405,P07259,|CCO-CYTOSOL|,|GO:0005829|,|TAX-559292|
|CARBPSYN-RXN|,pyrAA,|PWY-7791|,,P25993,,|GO:0070409|;|GO:0044205|;|GO:0006543|;|GO:0006526|;|GO:0016874|;|GO:0006541|;|GO:0006221|;|GO:0005524|;|GO:0004088|;|GO:0000166|,|TAX-224308|
|CARBPSYN-RXN|,pyrAB,|PWY-7791|,,P25994,,|GO:0044205|;|GO:0030145|;|GO:0006526|;|GO:0000287|;|GO:0046872|;|GO:0016874|;|GO:0008152|;|GO:0006807|;|GO:0006221|;|GO:0005524|;|GO:0004088|;|GO:0003824|;|GO:0000166|,|TAX-224308|
