MNX_ID	Balance	EC	Source	kegg
MNXR108436	true	3.2.1.74	rxn02695	R03801
MNXR108437	true	3.2.1.74	rxn02696	R03802
MNXR108440	true	2.1.1.56	rxn06490	R03805
MNXR108441	true	1.14.11.12	rxn02697	R03806
MNXR108443	true	1.14.11;1.14.11.13	rxn02699	R03809
MNXR108450	NA	1.14.15.1	rxn06496	R03818
MNXR108451	true	2.7.1.14;2.7.1.3	rxn02703	R03819
MNXR108455	true		rxn11573	R03823
MNXR108456	NA	1.1.1.186	rxn02708	R03826
MNXR108458	true	2.7.7.50	rxn06499	R03828
MNXR108459	NA	2.4.1.32	rxn11575	R03829
MNXR108460	ambiguous	3.8.1.10;3.8.1.2	rxn06500	R03830
MNXR108529	NA	2.8.1.4	rxn06532	R03923
MNXR108530	NA	2.7.8.9	rxn11581	R03924
MNXR108536	NA	1.14.15.6	rxn11583	R03933
MNXR108538	true	3.4.13.4	rxn02766	R03935
MNXR108539	true	3.7.1.3	rxn02767	R03936
MNXR108540	true	4.2.1.-	rxn02768	R03937
MNXR108541	true	2.1.1.43	rxn06537	R03938
MNXR108544	true	2.1.1.-	rxn02771	R03943
MNXR108547	true	1.11.1.8	rxn02779	R03953
MNXR108552	true		rxn02780	R03954
MNXR108554	true	2.3.2.15	rxn06540	R03956
MNXR108560	true	2.3.2.2	rxn14123	R03971
MNXR108561	true	1.11.1.8	rxn06542	R03973
MNXR108565	NA	3.1.8.1	rxn11584	R03979
MNXR108567	NA	2.4.1.74	rxn06544	R03981
MNXR108568	true	1.14.13.50	rxn06545	R03982
MNXR108569	true	2.3.2.13	rxn06546	R03983
MNXR108571	false	3.6.1.45	rxn06548	R03986
MNXR108611	NA	1.8.4.7	rxn06564	R04039
MNXR108613	true	2.4.1.52	rxn06565	R04041
MNXR108616	redox	1.14.16.5	rxn06568	R04044
MNXR108619	true	1.1.3.-;1.1.3.4	rxn02841	R04048
MNXR108621	true	2.6.1.-	rxn02844	R04051
MNXR108626	NA	2.3.2.5	rxn02849	R04058
MNXR108627	true	1.10.1.1	rxn02850	R04059
MNXR108629	true	2.1.1.60	rxn06570	R04062
MNXR108630	true	1.13.12.6	rxn06571	R04063
MNXR108631	true	1.14.13.5	rxn02854	R04066
MNXR108635	true	2.4.1.109	rxn11590	R04072
MNXR108636	true	1.14.11.16	rxn06576	R04073
MNXR108637	ambiguous	2.4.2.36	rxn06577	R04074
MNXR108638	true	2.7.1.206;2.7.1.69	rxn06578	R04076
MNXR108640	true	1.13.12.8	rxn06579	R04078
MNXR108642	ambiguous	2.4.1.69	rxn11591	
MNXR108643	NA	2.4.1.110	rxn06582	R04082
MNXR108645	true	4.2.1.78	rxn02858	R04084
MNXR108646	true	1.2.3.1	rxn11592	R04085
MNXR108650	true		rxn02863	R04092
MNXR108655	NA		rxn06587	R04098
MNXR108663	true	2.4.1.181	rxn02874	R04108
MNXR108664	true	6.3.3.1	rxn02937	R04208
MNXR108735	true	4.1.1.21	rxn02938	R04209
MNXR108752	NA	3.1.1.29	rxn06624	R04238
MNXR108756	true	2.7.7.14	rxn02961	R04247
MNXR108757	true	4.99.1.-	rxn02962	R04248
MNXR108758	ambiguous	1.1.99.-	rxn02963	R04249
MNXR108759	ambiguous		rxn02964	R04250
MNXR108760	ambiguous		rxn02965	R04251
MNXR108764	ambiguous	1.14.-.-	rxn02968	R04257
MNXR108768	true	1.1.1.181	rxn02973	R04264
MNXR108776	NA	3.6.1.44	rxn06632	R04272
MNXR108777	true	5.2.1.8	rxn06633	R04273
